gom,grade,percentile,test_period,num,roi,roi_mean,roi_std_dev,score,score_mean,score_std_dev
lnf,0,0.9,fall,32597,0.86,0.83,0.06,44,22,16
lnf,0,0.75,fall,32597,0.86,0.83,0.06,33,22,16
lnf,0,0.5,fall,32597,0.86,0.83,0.06,21,22,16
lnf,0,0.25,fall,32597,0.94,0.83,0.06,7,22,16
lnf,0,0.1,fall,32597,0.75,0.83,0.06,2,22,16
lnf,0,0.9,winter,32597,0.86,0.83,0.06,65,43,17
lnf,0,0.75,winter,32597,0.86,0.83,0.06,55,43,17
lnf,0,0.5,winter,32597,0.86,0.83,0.06,44,43,17
lnf,0,0.25,winter,32597,0.94,0.83,0.06,32,43,17
lnf,0,0.1,winter,32597,0.75,0.83,0.06,19,43,17
lnf,0,0.9,spring,32597,0.86,0.83,0.06,75,52,18
lnf,0,0.75,spring,32597,0.86,0.83,0.06,64,52,18
lnf,0,0.5,spring,32597,0.86,0.83,0.06,52,52,18
lnf,0,0.25,spring,32597,0.94,0.83,0.06,41,52,18
lnf,0,0.1,spring,32597,0.75,0.83,0.06,29,52,18
nwf,1,0.9,fall,25099,1.58,1,0.28,71,39,25
nwf,1,0.75,fall,25099,1.28,1,0.28,49,39,25
nwf,1,0.5,fall,25099,0.94,1,0.28,34,39,25
nwf,1,0.25,fall,25099,0.81,1,0.28,22,39,25
nwf,1,0.1,fall,25099,0.69,1,0.28,13,39,25
nwf,1,0.9,winter,25099,1.58,1,0.28,106,61,32
nwf,1,0.75,winter,25099,1.28,1,0.28,73,61,32
nwf,1,0.5,winter,25099,0.94,1,0.28,54,61,32
nwf,1,0.25,winter,25099,0.81,1,0.28,40,61,32
nwf,1,0.1,winter,25099,0.69,1,0.28,30,61,32
nwf,1,0.9,spring,25099,1.58,1,0.28,128,75,35
nwf,1,0.75,spring,25099,1.28,1,0.28,95,75,35
nwf,1,0.5,spring,25099,0.94,1,0.28,68,75,35
nwf,1,0.25,spring,25099,0.81,1,0.28,51,75,35
nwf,1,0.1,spring,25099,0.69,1,0.28,38,75,35
r-cbm,2,0.9,fall,38282,1.14,1.17,0.03,115,64,37
r-cbm,2,0.75,fall,38282,1.19,1.17,0.03,88,64,37
r-cbm,2,0.5,fall,38282,1.22,1.17,0.03,62,64,37
r-cbm,2,0.25,fall,38282,1.31,1.17,0.03,35,64,37
r-cbm,2,0.1,fall,38282,1.17,1.17,0.03,17,64,37
r-cbm,2,0.9,winter,38282,1.14,1.17,0.03,140,90,38
r-cbm,2,0.75,winter,38282,1.19,1.17,0.03,115,90,38
r-cbm,2,0.5,winter,38282,1.22,1.17,0.03,88,90,38
r-cbm,2,0.25,winter,38282,1.31,1.17,0.03,64,90,38
r-cbm,2,0.1,winter,38282,1.17,1.17,0.03,39,90,38
r-cbm,2,0.9,spring,38282,1.14,1.17,0.03,156,106,38
r-cbm,2,0.75,spring,38282,1.19,1.17,0.03,131,106,38
r-cbm,2,0.5,spring,38282,1.22,1.17,0.03,106,106,38
r-cbm,2,0.25,spring,38282,1.31,1.17,0.03,82,106,38
